FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P4_1_1,P4_1_2,P4_1_3,ENT,FACTOR
263,5,3,2,1,2,2,2,2,1,2,1,1,1,32,603
264,2,1,1,2,,,,,,,,,,8,1261
265,1,1,0,2,,,,,,,,,,20,1734
266,4,2,2,2,,,,,,,,,,25,647
267,5,2,3,1,2,1,1,1,1,1,1,1,1,1,938
268,3,2,1,1,2,1,1,2,1,1,1,1,1,26,695
269,1,0,1,2,,,,,,,,,,32,585
270,4,2,2,1,2,1,1,1,1,1,2,2,3,9,4200
271,3,2,1,2,,,,,,,,,,26,572
272,2,1,1,2,,,,,,,,,,1,441
273,2,1,1,2,,,,,,,,,,6,228
274,4,2,2,1,1,1,1,2,1,1,1,2,2,19,2372
275,2,0,2,1,2,2,2,2,1,2,1,1,1,26,1101
276,3,3,0,2,,,,,,,,,,8,930
277,2,1,1,2,,,,,,,,,,8,1261
278,3,1,2,1,2,2,1,2,1,1,1,1,1,14,3494
279,1,1,0,2,,,,,,,,,,19,4517
280,3,2,1,1,2,1,1,2,1,1,1,1,1,1,766
281,3,2,1,1,2,1,2,2,1,1,1,1,3,20,885
282,3,1,2,1,2,1,1,2,1,1,1,1,1,22,734
283,2,1,1,2,,,,,,,,,,12,839
284,1,0,1,2,,,,,,,,,,5,2764
285,2,0,2,2,,,,,,,,,,8,1163
286,2,1,1,2,,,,,,,,,,5,1292
287,3,1,2,2,,,,,,,,,,20,419
288,4,2,2,1,2,2,1,2,1,2,2,2,2,17,793
289,2,1,1,1,2,1,1,1,1,1,1,1,2,4,468
290,7,3,4,1,2,1,1,2,1,1,1,1,1,26,1078
291,2,0,2,1,2,2,1,1,1,1,2,1,1,27,927
292,6,2,4,1,2,2,2,2,1,1,1,1,1,1,878
293,5,1,4,1,1,2,1,2,1,1,2,1,4,20,1093
294,5,1,4,1,2,1,1,2,1,1,1,2,2,15,9626
295,3,1,2,1,2,1,1,2,1,1,1,1,2,4,335
296,2,1,1,2,,,,,,,,,,6,228
297,1,1,0,2,,,,,,,,,,11,3880
298,4,1,3,1,2,1,1,2,1,2,1,1,1,29,181
299,4,2,2,1,2,1,1,1,1,1,1,4,1,4,194
300,5,3,2,1,1,1,1,1,1,1,1,1,1,8,4722
301,6,2,4,1,1,1,1,2,1,1,1,1,3,26,1004
302,2,0,2,1,2,2,1,2,2,1,1,1,1,32,472
