FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P1_5,P4_1_1,P4_1_2,P4_1_3,ENT
115,4,2,2,1,1,2,1,2,1,1,,1,1,1,19
116,4,2,2,1,2,1,1,1,1,1,,1,2,3,6
117,1,0,1,2,,,,,,,,,,,12
118,4,1,3,1,1,1,1,1,1,1,,1,1,2,4
119,4,2,2,1,2,2,2,2,2,1,,2,1,2,12
120,1,0,1,2,,,,,,,,,,,18
121,1,1,0,2,,,,,,,,,,,1
122,1,1,0,2,,,,,,,,,,,32
123,1,1,0,2,,,,,,,,,,,12
124,6,5,1,1,2,2,1,1,1,2,1,1,1,1,25
125,4,1,3,1,2,2,1,2,1,1,,1,1,1,21
126,1,0,1,2,,,,,,,,,,,8
127,7,4,3,1,2,2,2,2,1,1,,2,2,2,6
128,4,2,2,1,2,1,1,2,1,1,,1,1,1,12
129,4,2,2,1,2,1,1,2,1,1,,1,1,1,30
130,3,1,2,1,2,2,1,2,1,2,1,2,1,2,23
131,7,1,6,1,2,2,2,2,2,2,6,9,9,9,7
132,6,4,2,1,2,2,2,2,1,1,,1,1,1,12
133,4,3,1,1,2,1,1,1,1,1,,1,1,1,24
134,4,2,2,1,2,1,1,1,1,1,,1,1,1,12
135,5,2,3,1,1,1,1,2,1,1,,1,1,1,11
136,1,0,1,2,,,,,,,,,,,21
137,1,1,0,2,,,,,,,,,,,14
138,6,3,3,1,1,2,1,2,1,1,,2,1,2,15
139,6,4,2,1,2,2,2,2,1,1,,1,1,1,11
140,7,5,2,2,,,,,,,,,,,2
141,5,1,4,2,,,,,,,,,,,32
142,2,1,1,2,,,,,,,,,,,23
143,10,3,7,2,,,,,,,,,,,20
144,1,1,0,2,,,,,,,,,,,2
145,2,2,0,2,,,,,,,,,,,21
146,4,2,2,1,1,2,1,2,1,1,,2,2,2,27
147,3,1,2,1,2,2,1,2,1,1,,1,2,1,3
148,1,1,0,2,,,,,,,,,,,2
149,5,3,2,1,2,1,1,2,1,1,,1,1,1,15
150,4,1,3,1,2,2,1,2,1,1,,2,2,2,24
151,4,3,1,1,2,2,1,2,1,2,7,2,2,3,6
152,2,1,1,2,,,,,,,,,,,28
153,3,0,3,1,2,1,2,2,1,1,,1,1,4,26
154,1,0,1,2,,,,,,,,,,,17
